dataset,total_shots,seed,comparison,order_id,metric,deterministic_value,evaluated_unique_permutation_mean,difference,evaluated_unique_permutation_count
mrpc,8,1,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,0.75,0.7402631578947368,0.009736842105263155,38
mrpc,8,1,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,0.7495993589743589,0.7374399075563487,0.012159451418010225,38
mrpc,8,1,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,0.73,0.7402631578947368,-0.010263157894736863,38
mrpc,8,1,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,0.7209590739975196,0.7374399075563487,-0.016480833558829122,38
mrpc,8,1,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,0.755,0.7402631578947368,0.01473684210526316,38
mrpc,8,1,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,0.7536140791954746,0.7374399075563487,0.016174171639125934,38
mrpc,8,2,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,0.735,0.7243421052631579,0.010657894736842088,38
mrpc,8,2,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,0.7344622861294121,0.7237321118419806,0.010730174287431504,38
mrpc,8,2,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,0.71,0.7243421052631579,-0.014342105263157934,38
mrpc,8,2,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,0.7099709970997101,0.7237321118419806,-0.013761114742270486,38
mrpc,8,2,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,0.725,0.7243421052631579,0.0006578947368420796,38
mrpc,8,2,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,0.7249381110749918,0.7237321118419806,0.0012059992330112346,38
mrpc,8,3,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,0.745,0.7467105263157895,-0.0017105263157894957,38
mrpc,8,3,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,0.7435575109993715,0.7446582331596443,-0.0011007221602727935,38
mrpc,8,3,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,0.745,0.7467105263157895,-0.0017105263157894957,38
mrpc,8,3,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,0.7448405253283301,0.7446582331596443,0.00018229216868581588,38
mrpc,8,3,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,0.74,0.7467105263157895,-0.0067105263157895,38
mrpc,8,3,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,0.7348021215830274,0.7446582331596443,-0.009856111576616922,38
mrpc,8,4,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,0.76,0.761578947368421,-0.0015789473684210131,38
mrpc,8,4,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,0.7593984962406015,0.761055466380557,-0.0016569701399554715,38
mrpc,8,4,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,0.74,0.761578947368421,-0.02157894736842103,38
mrpc,8,4,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,0.7368154671525458,0.761055466380557,-0.024239999228011233,38
mrpc,8,4,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,0.755,0.761578947368421,-0.006578947368421018,38
mrpc,8,4,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,0.7545028683083244,0.761055466380557,-0.006552598072232629,38
mrpc,8,5,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,0.73,0.7259210526315789,0.004078947368421071,38
mrpc,8,5,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,macro_f1,0.7282608695652173,0.7236244039976311,0.004636465567586234,38
mrpc,8,5,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,accuracy,0.745,0.7259210526315789,0.019078947368421084,38
mrpc,8,5,label_grouped_minus_evaluated_unique_permutation_mean,label_grouped,macro_f1,0.7409523809523808,0.7236244039976311,0.017327976954749746,38
mrpc,8,5,alternating_minus_evaluated_unique_permutation_mean,alternating,accuracy,0.745,0.7259210526315789,0.019078947368421084,38
mrpc,8,5,alternating_minus_evaluated_unique_permutation_mean,alternating,macro_f1,0.7431442169675908,0.7236244039976311,0.01951981296995975,38
rte,2,1,seeded_base_minus_evaluated_unique_permutation_mean,seeded_base,accuracy,0.86,0.8625,-0.0025000000000000577,2
