dataset,model_id,total_shots,seed,order_family,order_id,n_eval,accuracy,macro_f1,mean_prompt_tokens,total_latency_seconds
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_04,200,0.855,0.8548221571424995,342.56,6.783346094278386
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_05,200,0.85,0.84998499849985,342.56,6.78134849932394
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_06,200,0.85,0.84998499849985,342.56,6.764691679185489
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_07,200,0.855,0.8548221571424995,342.56,6.752385580912232
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_08,200,0.855,0.8549963749093727,342.56,6.7230755939672235
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_09,200,0.84,0.8398558702832549,342.56,6.755181368556805
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_10,200,0.86,0.8599859985998599,342.56,6.744341738172807
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_11,200,0.85,0.8499399759903962,342.56,6.7466299267543945
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_12,200,0.86,0.8599439775910365,342.56,6.755744552006945
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_13,200,0.85,0.8499399759903962,342.56,6.739350276038749
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_14,200,0.855,0.8549963749093727,342.56,6.7493742851074785
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_15,200,0.85,0.8499399759903962,342.56,6.747762318060268
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_16,200,0.85,0.8499399759903962,342.56,6.8337597860372625
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_17,200,0.845,0.8449030644152595,342.56,6.776633619883796
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_18,200,0.855,0.8548221571424995,342.56,6.790140639030142
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_19,200,0.84,0.8399359743897559,342.56,6.797922175755957
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_20,200,0.865,0.8649696181640869,342.56,8.596443175978493
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_21,200,0.855,0.854967367657723,342.56,8.874471706338227
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_22,200,0.85,0.84998499849985,342.56,8.527747512038331
rte,Qwen/Qwen3-4B,4,1,exhaustive,perm_23,200,0.85,0.8498648783905516,342.56,7.036364999919897
rte,Qwen/Qwen3-4B,4,2,exhaustive,perm_00,200,0.83,0.8295739348370927,442.47,7.108455490873894
rte,Qwen/Qwen3-4B,4,2,exhaustive,perm_01,200,0.82,0.8193496587715776,442.47,7.129557833948638
rte,Qwen/Qwen3-4B,4,2,exhaustive,perm_02,200,0.825,0.8246449059345174,442.47,7.133227107959101
rte,Qwen/Qwen3-4B,4,2,exhaustive,perm_03,200,0.825,0.8244690187818149,442.47,7.1404458589386195
rte,Qwen/Qwen3-4B,4,2,exhaustive,perm_04,200,0.835,0.8346651970239736,442.47,7.140375524933916
rte,Qwen/Qwen3-4B,4,2,exhaustive,perm_05,200,0.835,0.8347976270931892,442.47,7.14280983406934
rte,Qwen/Qwen3-4B,4,2,exhaustive,perm_06,200,0.835,0.8344993605657113,442.47,7.1422581611259375
rte,Qwen/Qwen3-4B,4,2,exhaustive,perm_07,200,0.84,0.839421918908069,442.47,7.137146300839959
rte,Qwen/Qwen3-4B,4,2,exhaustive,perm_08,200,0.84,0.8392121394834691,442.47,7.128024574776646
rte,Qwen/Qwen3-4B,4,2,exhaustive,perm_09,200,0.835,0.8340666247642992,442.47,7.119895867916057
rte,Qwen/Qwen3-4B,4,2,exhaustive,perm_10,200,0.84,0.839421918908069,442.47,7.1299432119121775
rte,Qwen/Qwen3-4B,4,2,exhaustive,perm_11,200,0.825,0.8244690187818149,442.47,7.117764984956011
rte,Qwen/Qwen3-4B,4,2,exhaustive,perm_12,200,0.82,0.8195488721804511,442.47,7.105594538996229
rte,Qwen/Qwen3-4B,4,2,exhaustive,perm_13,200,0.835,0.8346651970239736,442.47,7.106668880092911
rte,Qwen/Qwen3-4B,4,2,exhaustive,perm_14,200,0.83,0.8295739348370927,442.47,7.109776862227591
rte,Qwen/Qwen3-4B,4,2,exhaustive,perm_15,200,0.83,0.8295739348370927,442.47,7.112845507916063
rte,Qwen/Qwen3-4B,4,2,exhaustive,perm_16,200,0.83,0.8297275641025641,442.47,7.114147857035277
rte,Qwen/Qwen3-4B,4,2,exhaustive,perm_17,200,0.825,0.8246449059345174,442.47,7.103059204091551
rte,Qwen/Qwen3-4B,4,2,exhaustive,perm_18,200,0.835,0.8346651970239736,442.47,7.096185540111037
rte,Qwen/Qwen3-4B,4,2,exhaustive,perm_19,200,0.835,0.8346651970239736,442.47,7.091892649943475
rte,Qwen/Qwen3-4B,4,2,exhaustive,perm_20,200,0.835,0.8344993605657113,442.47,7.110502075025579
rte,Qwen/Qwen3-4B,4,2,exhaustive,perm_21,200,0.825,0.8246449059345174,442.47,7.109116370789707
rte,Qwen/Qwen3-4B,4,2,exhaustive,perm_22,200,0.83,0.8293857888398235,442.47,7.092992181685986
rte,Qwen/Qwen3-4B,4,2,exhaustive,perm_23,200,0.82,0.8197115384615385,442.47,7.119177839078475
rte,Qwen/Qwen3-4B,4,3,exhaustive,perm_00,200,0.835,0.8337991992143234,381.405,6.809548462973908
rte,Qwen/Qwen3-4B,4,3,exhaustive,perm_01,200,0.84,0.8383838383838385,381.405,6.828944410022814
rte,Qwen/Qwen3-4B,4,3,exhaustive,perm_02,200,0.85,0.8492613807657521,381.405,6.842240981757641
rte,Qwen/Qwen3-4B,4,3,exhaustive,perm_03,200,0.83,0.8279178054458953,381.405,6.906921876827255
rte,Qwen/Qwen3-4B,4,3,exhaustive,perm_04,200,0.845,0.8435883851762154,381.405,7.422078854084248
rte,Qwen/Qwen3-4B,4,3,exhaustive,perm_05,200,0.825,0.822654607179955,381.405,7.110525802039774
rte,Qwen/Qwen3-4B,4,3,exhaustive,perm_06,200,0.845,0.843871975019516,381.405,7.019216881890316
rte,Qwen/Qwen3-4B,4,3,exhaustive,perm_07,200,0.835,0.8331605955661163,381.405,6.890324842126574
rte,Qwen/Qwen3-4B,4,3,exhaustive,perm_08,200,0.835,0.8334973132521002,381.405,6.825947423145408
rte,Qwen/Qwen3-4B,4,3,exhaustive,perm_09,200,0.825,0.822654607179955,381.405,6.760260264039971
rte,Qwen/Qwen3-4B,4,3,exhaustive,perm_10,200,0.84,0.8383838383838385,381.405,6.7681367337936535
rte,Qwen/Qwen3-4B,4,3,exhaustive,perm_11,200,0.825,0.8222222222222222,381.405,6.792602705769241
rte,Qwen/Qwen3-4B,4,3,exhaustive,perm_12,200,0.84,0.8386934166750681,381.405,6.79331900482066
rte,Qwen/Qwen3-4B,4,3,exhaustive,perm_13,200,0.835,0.8323809523809522,381.405,6.7741867673175875
rte,Qwen/Qwen3-4B,4,3,exhaustive,perm_14,200,0.835,0.8334973132521002,381.405,6.768065379787004
rte,Qwen/Qwen3-4B,4,3,exhaustive,perm_15,200,0.82,0.8173701298701298,381.405,6.737938142992789
rte,Qwen/Qwen3-4B,4,3,exhaustive,perm_16,200,0.83,0.8279178054458953,381.405,6.73714250017656
rte,Qwen/Qwen3-4B,4,3,exhaustive,perm_17,200,0.825,0.822654607179955,381.405,6.747964657784905
rte,Qwen/Qwen3-4B,4,3,exhaustive,perm_18,200,0.845,0.8435883851762154,381.405,6.726105065754382
rte,Qwen/Qwen3-4B,4,3,exhaustive,perm_19,200,0.825,0.822654607179955,381.405,6.73952277796343
rte,Qwen/Qwen3-4B,4,3,exhaustive,perm_20,200,0.84,0.8383838383838385,381.405,6.730096747109201
rte,Qwen/Qwen3-4B,4,3,exhaustive,perm_21,200,0.84,0.8380402874784898,381.405,6.753934857842978
rte,Qwen/Qwen3-4B,4,3,exhaustive,perm_22,200,0.835,0.8331605955661163,381.405,6.750279363244772
rte,Qwen/Qwen3-4B,4,3,exhaustive,perm_23,200,0.845,0.8435883851762154,381.405,6.7877752880740445
rte,Qwen/Qwen3-4B,4,4,exhaustive,perm_00,200,0.875,0.8749218261413383,364.0,6.769692137953825
rte,Qwen/Qwen3-4B,4,4,exhaustive,perm_01,200,0.875,0.8749968749218731,364.0,6.757053693203488
rte,Qwen/Qwen3-4B,4,4,exhaustive,perm_02,200,0.87,0.8699479791916767,364.0,6.7674625739164185
rte,Qwen/Qwen3-4B,4,4,exhaustive,perm_03,200,0.885,0.8849741191768148,364.0,6.766113176068757
rte,Qwen/Qwen3-4B,4,4,exhaustive,perm_04,200,0.895,0.8949343339587241,364.0,6.824691602145322
rte,Qwen/Qwen3-4B,4,4,exhaustive,perm_05,200,0.885,0.8849280800500313,364.0,6.855607089004479
rte,Qwen/Qwen3-4B,4,4,exhaustive,perm_06,200,0.875,0.8749218261413383,364.0,6.840505858155666
rte,Qwen/Qwen3-4B,4,4,exhaustive,perm_07,200,0.885,0.8849741191768148,364.0,6.7818488088669255
rte,Qwen/Qwen3-4B,4,4,exhaustive,perm_08,200,0.875,0.8749218261413383,364.0,6.776789212570293
rte,Qwen/Qwen3-4B,4,4,exhaustive,perm_09,200,0.885,0.8849280800500313,364.0,6.803853766003158
rte,Qwen/Qwen3-4B,4,4,exhaustive,perm_10,200,0.88,0.87998799879988,364.0,6.798971244948916
rte,Qwen/Qwen3-4B,4,4,exhaustive,perm_11,200,0.88,0.879951980792317,364.0,6.7922592930844985
rte,Qwen/Qwen3-4B,4,4,exhaustive,perm_12,200,0.87,0.8698828946051447,364.0,6.794048961106455
rte,Qwen/Qwen3-4B,4,4,exhaustive,perm_13,200,0.885,0.8849280800500313,364.0,6.789777124096872
rte,Qwen/Qwen3-4B,4,4,exhaustive,perm_14,200,0.86,0.8599439775910365,364.0,6.873570175084751
rte,Qwen/Qwen3-4B,4,4,exhaustive,perm_15,200,0.88,0.879951980792317,364.0,6.8694887548917904
rte,Qwen/Qwen3-4B,4,4,exhaustive,perm_16,200,0.885,0.8849280800500313,364.0,7.383918591280235
rte,Qwen/Qwen3-4B,4,4,exhaustive,perm_17,200,0.89,0.8899009108197378,364.0,8.396191282110522
rte,Qwen/Qwen3-4B,4,4,exhaustive,perm_18,200,0.89,0.8899009108197378,364.0,8.239556394109968
rte,Qwen/Qwen3-4B,4,4,exhaustive,perm_19,200,0.885,0.8849280800500313,364.0,8.552705551002873
rte,Qwen/Qwen3-4B,4,4,exhaustive,perm_20,200,0.89,0.8899559823929571,364.0,6.7376330709666945
rte,Qwen/Qwen3-4B,4,4,exhaustive,perm_21,200,0.89,0.8899559823929571,364.0,6.76964998090989
rte,Qwen/Qwen3-4B,4,4,exhaustive,perm_22,200,0.885,0.8849280800500313,364.0,6.830808388913283
rte,Qwen/Qwen3-4B,4,4,exhaustive,perm_23,200,0.895,0.8949343339587241,364.0,6.959953961049905
rte,Qwen/Qwen3-4B,4,5,exhaustive,perm_00,200,0.83,0.8291628982011858,341.03,7.1584212979942095
rte,Qwen/Qwen3-4B,4,5,exhaustive,perm_01,200,0.835,0.8344993605657113,341.03,6.922215116035659
rte,Qwen/Qwen3-4B,4,5,exhaustive,perm_02,200,0.835,0.8344993605657113,341.03,6.813793893234106
